category,sub-category,sub-category-link,title,author,keywords
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Monica H. Green, “Medical Manuscripts from the Long Twelfth Century,” Manuscripts on My Mind:  News from the Vatican Film Library, No. 8 (January 2013), p. 11",Monica H. Green,"['Medieval History', 'History of Medicine', 'Rare Books and Manuscripts', 'Manuscript Studies', 'Codicology of medieval manuscripts', 'Medieval Medicine', 'History of Medicine in Medieval and Early Modern Europe', 'Constantinus Africanus', 'medical school of Salerno', 'Gerard of Cremona', 'Constantine the African', 'Macer Floridus', 'Monte Cassino']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,SŁOWIAŃSKIM KRÓLU,Jordan Michow,"['Medieval History', 'Medieval Art']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Raphael Loewe, “The Jewish Midrashim and Patristic and Scholastic Exegesis of the Bible,” Studia Patristica, vol. 1 (1957): 492-514",Raphael Loewe ז״ל,"['Jewish Studies', 'Medieval History', 'Medieval Studies', 'Medieval Jewish Philosophy', 'Medieval Jewish History']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Jiří Sláma: Střední Čechy v raném středověku. 3., Archeologie v počátcích přemyslovského státu / Central Bohemia in the Early Middle Ages. 3., Archeology in the beginnings of the Přemysl - dynasty state",Digital library Bohemia,"['Archaeology', 'Medieval History', 'Medieval Studies', 'Early Medieval Archaeology', 'Early Medieval History', 'Medieval Archaeology', 'Early Medieval And Medieval Settlement (Archaeology)', 'Archeologia', 'Slavic', 'Arheology', 'Slavic Studies', 'Archeologia medievale', 'Slavs', 'Archeologie', 'Archéologie', 'Slavic Archaeology', 'Arheologija', 'Early Medieval Period', 'Archeology', 'Archeology Slavs']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Osobní jména v názvech vybraných středověkých lokalit
(Personal names in selected medieval toponyms)",Markéta Marková,"['Medieval History', 'Toponomastics', 'Central European history']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"'Discipline, Compassion and Monastic Ideals of Community, c. 950-1250'",Katherine Allen Smith,"['Medieval History', 'Historical Studies']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,A Critical Companion to John Skelton [Edited book],Sebastian Sobecki,"['Religion', 'Christianity', 'History', 'Law', 'Latin Literature', 'English Literature', 'Medieval Literature', 'Medieval History', 'Early Modern History', 'Literature', 'Medieval Studies', 'Renaissance Studies', 'Renaissance Humanism', 'Religion and Politics', 'Poetry', 'Medieval English Literature', 'Tudor England', 'English', 'History of English Literature', 'Early Modern England', 'Tudor History', 'Early Modern Literature', 'Medieval England', 'Early Modern Britain', 'Humanism', 'Renaissance literature', 'Early Modern English drama', 'English Renaissance Literature', 'John Skelton', 'Thomas Cardinal Wolsey', 'Tudor Literature', 'Early Modern Drama', 'English language and literature', 'Henry VIII', 'Middle Ages', 'Neolatin Literature', 'Neolatin Studies', 'Medieval and Neolatin Texts', 'Skelton Studies']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"“San Atilano, patrón de Tarazona: Historia de una devoción”, en Carretero Calvo, R., y Criado Mainar, J. (coords.), MILENIO. San Atilano y Tarazona (1009-2009), (con Mª Teresa Ainaga Andrés), Tarazona, Fundación Tarazona Monumental, 2009, pp. 73-109.",Rebeca Carretero Calvo,"['History', 'Modern History', 'Cultural History', 'Medieval History', 'Cult of Saints', 'História Moderna', 'Historia', 'Alta Edad Media', 'Historia Cultural', 'Tarazona (Spain)', 'Moyen Âge', 'Zamora', 'Saints', 'Historia Moderna', 'Moyen Age', 'historia de la Iglesia', 'Santos', 'Historia Moderna De España', 'comarca de Tarazona, Zaragoza', 'Eremitas', 'Tarazona', 'San Atilano']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Mount Tombe - A Comparative Analysis Between Mont Saint Michel Normandy FR & Mount Saint Michael Cornwall UK,David Vanderper,"['History', 'Ancient History', 'Medieval History', 'Dante Studies', 'Medieval England', 'France', 'England', 'Sacred mountains', 'Fortifications', 'Castles', 'Anglo-Norman history', 'Medieval Architecture, Castles', 'Cornwall', 'Medieval castles', 'Castles and Fortifications', 'Medieval England & Ireland & Normandy', 'Medieval Castles and Fortresses', 'Normandy', 'Normans in Normandy, England, Southern Italy', 'Geology of Devon and Cornwall']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Mark R. Cohen, “Jews in the Mamlūk Environment: The Crisis of 1442 (A Geniza Study),” Bulletin of the School of Oriental and African Studies, vol. 47, no. 3 (1984): 425-448",Mark R. Cohen,"['Jewish Studies', 'Medieval History', 'Medieval Studies', 'Medieval Jewish History', 'Medieval Islamic History', 'Cairo Genizah']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"""Confrontation of Powers in the Norman Kingdom of Sicily: Kings, Nobles, Bureaucrats and Cities,"" Citta e vita cittadina nei Paesi dell'area mediterranea: secoli XI-XV, Atti del Convegno Internazionale in onore di Salvatore Tramontana, a cura di B. Saitta (Roma, Viella, 2006), pp. 541-552.",Hiroshi Takayama,"['Multiculturalism', 'Medieval History', 'Medieval Studies', 'State Formation', 'Cross-Cultural Studies', 'State Theory', 'Kingship (Medieval History)', 'Medieval Sicily', 'Norman Sicily', 'Sicily (History)', 'Kingship and systems of rule', 'Normans', 'Islamic and Norman Sicily', 'Institutions', 'Anglo-Norman history', 'Sicily', 'Medieval government', 'Kingdom of Sicily (1130-1300)', 'Norman', 'Multicultural', 'Normans in  Southern Italy', 'Multi-Cultural']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Magic and the origins of modern science,John Henry,"['Philosophy', 'Medieval History', 'Magic', 'Science', 'Medicine', 'Lancet', 'The Lancet', 'Medical and Health Sciences']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Ausreiten, schützen, verhandeln. Aspekte und Akteure städtischer Sicherheit im Spätmittelalter am Beispiel Bremens, Braunschweigs und Lüneburgs",Florian Dirks,"['Peace and Conflict Studies', 'Medieval History', 'Medieval Studies', 'Urban History', 'Security', 'Negotiation', 'Medieval Germany', 'Late Medieval History']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,O aragonskom viteškom redu Stole i vaze u srednjovjekovnoj Bosni (On the Chivalric Order of the Stole and the Jar in Medieval Bosnia),Emir O. Filipović,"['Medieval History', 'Medieval Studies', 'Bosnia', 'Chivalry (Chivalry)', 'Medieval Europe', 'Medieval Crown of Aragon', 'Chivalry (Medieval Studies)', 'Bosnia and Herzegovina', 'Middle Ages', 'The Kingdom of Naples', 'History of Bosnia and Herzegovina', 'medieval Bosnia', 'Southeastern Europe in the Middle Ages']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"I documenti di S. Giorgio in Braida di Verona. II (1166-1175), a cura di M. Cameli",Istituto Storico Medioevo,"['Medieval History', 'Medieval Studies']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,2700 years of Mediterranean environmental change in central Italy: a synthesis of sedimentary and cultural records to interpret past impacts of climate on society,Leonardo Sagnotti,"['Landscape Ecology', 'Archaeology', 'Prehistoric Archaeology', 'Earth Sciences', 'Geology', 'Historical Archaeology', 'Medieval History', 'Climate Change', 'Palaeoenvironment', 'Landscape Archaeology', 'Medieval Studies', 'Climatology', 'Palinology', 'Paleoenvironmental Change', 'Prehistory', 'Holocene', 'History and archaeology', 'Medieval Rural History', 'Quaternary Science Reviews', 'Mediterranean Climate']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Καβάλα, 100 χρόνια πριν. Τόσες πολλές ομοιότητες με το σήμερα…
Η φυματίωση, το Σανατόριο, οι πρόσφυγες από την Ανατολική Θράκη τότε... και η μεγαλειώδης πράξη των γιατρών της Ιταλίας που σήμερα νοσούν από τον κορονοϊό. ΚΑVALA POST, 23/03/2020",SAPPHO AGELOUDI-ZARKADA,['Medieval History']
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Jacob Rader Marcus, *Jews in Christian Europe: A Source Book, 315–1791*, ed. Marc Saperstein (Pittsburgh: Hebrew Union College and University of Pittsburgh Presses, 2015)",Marc Saperstein,"['Jewish Studies', 'Medieval History', 'Medieval Studies', 'Medieval Jewish Philosophy', 'Medieval Jewish History']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Ζητήματα επτανησιακής κοινωνικής ιστορίας,George Leontsinis,"['History', 'Greek History', 'Medieval History', 'History of Education', 'Colonialism', 'Modern Greek History', 'Social History', 'History of the Mediterranean', 'Ionian Islands', 'Heptanesian History']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Columbanus and the Peoples of Post-Roman Europe, ed. Alexander O'Hara",Alexander O'Hara,"['Religion', 'History', 'Cultural Studies', 'European Studies', 'Archaeology', 'European integration', 'Theology', 'Medieval History', 'Medieval Studies', ""Saints' Cults"", 'Papacy (Medieval Church History)', 'Early Medieval Ireland', 'Travel & Tourism', 'European Union', 'Late Antiquity', 'Ecclesiology', 'Church History', 'Monasticism', 'France', 'Merovingian period', 'Ireland', 'Italy', 'Seventh Century', 'Columbanus', 'Trade and travel in medieval Europe and the Mediterranean', 'Columbanian Monasticism']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Un modelo de urbanismo omeya en Córdoba/Qurtuba: el arrabal emiral de Saqunda,Maria Teresa Casal Garcia,"['Medieval History', 'Medieval Archaeology', 'Al-Andalus', 'Islamic Urbanism']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Liège : sondages archéologiques à la collégiale Saint-Jean. La genèse du cloître à galeries et le réfectoire, également appelé ""chapelle des bénéficiers""",Denis Henrard,"['History', 'Archaeology', 'Medieval History', 'Medieval Archaeology', 'Medieval Glasses (Archaeology)', 'Archaeology of churches', 'Archéologie', 'Histoire', 'Cloisters', 'Medieaval Archaeology', 'Archäologie', 'Histoire Medievale', 'Archéologie Urbaine', 'Archéologie médiévale', 'Principality of Liège', 'Medieval Church Archaeology', 'History of Liège - Middle Ages and Renaissance', 'Liège', 'Medieaval Studies']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,Il mosaico pavimentale romanico nel presbiterio della Cattedrale di Novara. Questioni iconografiche e pratiche liturgiche,Maddalena Vaccaro,"['Iconography', 'Medieval History', 'Liturgy', 'Medieval Art', 'Christian Iconography', 'Iconografia', 'Pavement Mosaics', 'Arte Medievale', 'Late Antique and Byzantine Art and Archaeology, Mosaic pavements, Middle and Late Byzantine Painting', 'Duomo, Novara', 'Mosaici Medievali']"
History,Medieval History,https://www.academia.edu/Documents/in/Medieval_History?f_fri=,"Monastic Europe: Medieval Communities, Landscapes, & Settlements",Keith Smith,"['Medieval History', 'Religious congregations and monastic orders', 'Monasticism', 'Religious History', 'European Medieval History']"
